diagonal.n.04 mathematicalconcept
sanitation.n.02 process
procrastinator.n.01 person
inhumaneness.n.01 moralvice
congratulation.n.01 祝贺行为
haziness.n.02 atmosphericcondition
molecular_biology.n.01 scientificdiscipline
millennium.n.02 propheticperiod
elettaria.n.01 spice
develop.v.13 creationprocess
distribute.v.04 actiondistribution
wolframite.n.01 mineral
work.v.19 persuasion
travel.v.01 motionaction
fragaria.n.01 fruit
exodus.n.02 biblicalbook
leitneria.n.01 treespecies
administrator.n.03 governmentofficial
ill_health.n.01 medicalcondition
dead_nettle.n.02 plantspecies
france.n.01 country
massage.n.01 healthcareprocedure
stamp.n.02 category
negate.v.03 falsifiability
power_line.n.01 electricityinfrastructure
arabidopsis.n.01 plantgenus
dawn.n.01 momentintime
depute.v.02 appointmentaction
fertilization.n.02 agriculturalprocess
smut.n.03 fungispecies
monster.n.04 villain
casuistry.n.01 fallacy
crown.n.12 roadfeature
alkali.n.02 chemicalcompound
winged_elm.n.01 treespecies
menstruation.n.01 biologicalprocess
sponge.v.05 aquacultureaction
skirt.n.02 clothing
demineralize.v.01 chemicalprocess
cottonwood.n.01 treespecies
rape.n.01 crop
democracy.n.01 politicalideology
reputable.a.01 reputation
bleaching_agent.n.01 chemicalsubstance
ballyhoo.n.01 marketingpromotion
preemption.n.01 legalprinciple
idle.v.02 staticstate
familiarity.n.05 unwarrantedfamiliarity
sinningia.n.01 plantgenus
precede.v.02 temporalrelation
grantee.n.01 beneficiary
riser.n.01 human
transducer.n.01 energyconverter
loiseleuria.n.01 plantspecies
hieroglyph.n.02 ancientegyptianwritingsystem
tasteless.a.02 aestheticjudgement
savor.v.03 sensoryexperience
lunge.n.02 fencingmove
flageolet.n.02 musicalinstrument
capitulation.n.03 militaryaction
vaporization.n.02 physicalprocess
percolate.v.05 flow
filipino.n.01 nationality
bigeye_scad.n.01 fish
local_department.n.01 localgovernmentdepartment
hankering.n.01 desire
rouge.n.01 cosmeticproduct
stream.v.01 movement
dilate.v.01 expansion
sundacarpus_amara.n.01 plantspecies
mexican.n.01 nationality
hyacinth.n.02 flower
sole.n.04 fish
sentience.n.03 consciousness
attica.n.01 ancientgreekregion
vetch.n.01 leguminousplant
desmograthus.n.01 amphibiangenus
ricinus.n.01 plant
eastern_ground_snake.n.01 reptile
dinoflagellata.n.01 protisttaxonomy
miner.n.01 miner
tartuffe.n.01 literarycharacter
theatrical_production.n.01 stageperformance
transistor.n.01 electroniccomponent
chamber.n.02 bodypart
immigration_and_naturalization_service.n.01 governmentagency
protest.v.01 speechact
rhyme.v.02 auditorysimilarity
pieris.n.01 plant
block.v.06 medicalprocedure
by-bid.v.01 agentonbehalf
wild_licorice.n.02 plant
melon.n.01 plantproduct
sophism.n.01 fallacy
home_counties.n.01 suburbanarea
pulmonary_tuberculosis.n.01 disease
alcoholize.v.02 chemicaltreatment
clemens.n.01 americannovelist
plant_product.n.01 plantderivedproduct
compact_disk.n.01 physicalmusicmedium
abreact.v.01 emotionalrelease
cat.v.01 physicalpunishment
bedspring.n.01 furniturecomponent
crash_land.v.01 aviationevent
budget.n.02 financialplan
subpoena.n.01 legaldocument
melanotis.n.01 birdgenus
aphorism.n.01 quote
stone_pine.n.01 treespecies
guilt.n.01 offense
biscayne_bay.n.01 geographicalfeature
alisma.n.01 aquaticplant
triga.n.01 genus
sanvitalia.n.01 plantgenus
worth.n.02 intrinsicvalue
young_buck.n.01 person
isolation.n.04 psychologicaldefensemechanism
common_gum_cistus.n.01 plant
mastopexy.n.01 medicalprocedure
domesticate.v.01 environmentaladaptation
false.a.01 contradiction
handle.v.06 instructionalaction
investigate.v.01 scientificinvestigation
move.v.16 formalproposal
wide.a.01 dimensional
dispose.v.04 arrangementaction
knit.v.02 connection
langley.n.02 astronomerandaviationpioneer
speciate.v.01 biologicalprocess
node.n.03 plantbud
repercuss.v.01 causativeaction
pardoner.n.02 religiousofficial
injury.n.04 causeofdamage
alone.s.04 uniqueorunparalleledtrait
water_shamrock.n.01 aquaticplant
tracheophyta.n.01 vascularplant
crichton.n.01 scottishauthor
genus_bougainvillea.n.01 planttype
activeness.n.02 characteristic
accept.v.02 receivingaction
deposit.v.02 financialaction
calopogon.n.01 plantspecies
grass_pink.n.01 orchidaceae
field-test.v.01 usageevaluation
short-change.v.01 financialfraud
accountantship.n.01 occupation
emplace.v.01 weaponpositioning
range.n.06 category
amphisbaenidae.n.01 reptilefamily
distributive.a.01 actionofdistribution
sack.n.01 shoppingbag
cordylidae.n.01 lizardfamily
frame.v.01 encasingaction
tearaway.n.01 recklessindividual
attire.n.01 clothingstyle
bottom.n.01 physicallocation
dome.n.04 architecturalfeature
erysiphales.n.01 plantpathogen
chain.n.10 jewelry
library.n.02 culturalinstitution
organelle.n.01 cellularcomponent
pastorship.n.01 religiousposition
honorable.a.02 qualitiesandfeatures
dynamite.n.01 explosives
south_african.n.01 nationality
turn.v.08 dischargeaction
anas.n.01 animalgenus
monocytic_leukemia.n.01 disease
end.v.04 terminationaction
flash.n.02 lightphenomenon
slant.v.02 cognitivebias
accredit.v.01 authorization
diffident.a.02 personalitytrait
cartilaginous_structure.n.01 bodypart
pool.n.06 waterbody
writing.n.03 literaryworkcollection
clergy.n.01 religiousgroup
post.n.05 aviator
dangerous.a.01 potentiallyhazardous
see.v.10 precautionaryaction
homologize.v.02 modificationprocess
execution.n.06 action
flourish.n.04 gesture
coccid_insect.n.01 pest
home.n.01 residentiallocation
art.n.01 artisticcreation
enchantress.n.02 legendarybeing
retention.n.01 action
ford.n.05 uspresident
deliver.v.01 presentation
teacher.n.01 educator
nightwear.n.01 sleepwear
summation.n.04 mathematicaloperation
sinhalese.n.01 nationality
dopamine.n.01 neurotransmitter
sequence.n.03 moviesegment
realist.n.03 artiststyle
kidnap.v.01 criminalaction
myrmeleon.n.01 insectgenus
lepas.n.01 animalgenus
tetrachloride.n.01 chemicalcompound
retriever.n.01 dogbreed
convey.v.03 transferagent
savage.v.01 actofviolence
ferret.v.02 animalhuntingpractice
possession.n.01 ownership
scrape.v.05 accumulation
company.v.01 companionship
trachea.n.01 respiratoryorgan
cannon.n.03 medievalarmor
melted.a.01 phasechange
baleen_whale.n.01 marinemammal
preceptorship.n.01 role
manor.n.01 aristocraticresidence
predomination.n.02 dominance
pavement.n.01 roadsurface
repression.n.03 socialcontrol
accommodate.v.04 capacity
vein.n.01 bloodvessel
trojan.n.01 historicalfigure
mongrelize.v.01 actioncausingchange
advertising_campaign.n.01 marketingcampaign
ichthyosauridae.n.01 extinctmarinereptile
arthropod_family.n.01 taxonomicgroup
antimalarial.n.01 medication
sea_nymph.n.01 mythologicalcreature
integrity.n.02 moralconcept
baste.v.01 foodpreparationaction
giant.n.01 mythologicalcreature
cruciferae.n.01 plantfamily
roast.n.01 cutmeat
soft-shelled_turtle.n.01 reptile
engine.n.01 powergenerator
orthoptera.n.01 insect
joy.n.01 emotionalexperience
nitrification.n.02 biochemicalprocess
name.n.03 patrilinealdescentgroup
reduction.n.03 action
female_internal_reproductive_organ.n.01 femalereproductivesystem
dynamiter.n.01 revolutionaryactivist
printing.n.02 printingcompany
stanleya.n.01 botanicalname
theosophy.n.01 religiousbeliefsystem
carry.v.34 feedingcapacity
snuff-color.n.01 color
infancy.n.01 developmentalstage
telex.v.01 communicationmethod
chaser.n.02 beverage
lesser_panda.n.01 animal
williams.n.05 religiousfigureandfounder
press.v.01 forceapplication
lutjanidae.n.01 fishfamily
vinification.n.01 productionprocess
mekong.n.01 waterbody
bestiality.n.02 sexualact
sterculia.n.01 treespecies
vinyl_polymer.n.01 chemicalcompound
lap.v.03 soundproducingmotion
batting.n.01 baseballaction
enderby_land.n.01 geographicalregion
jolson.n.01 person
catalyze.v.01 chemicalprocess
grieve.v.01 emotionalstate
league.n.03 measurablequantity
fight.n.05 combatevent
mutant.n.02 geneticvariant
biu-mandara.n.01 languagefamily
derive.v.03 origin
tremor.n.02 earthquakephenomenon
cnemidophorus.n.01 lizards
broom.n.02 shrub
nanning.n.01 city
procedure.n.04 legalprocess
round_shape.n.01 geometricshape
crazy.n.01 threat
ballota.n.01 plant
styphelia.n.01 plant
push-button_radio.n.01 electronicdevice
radon.n.01 chemicalelement
clean_out.v.02 detachement
rheostat.n.01 electricalcomponent
counterpart.n.02 replication
bobsled.n.01 wintersportequipment
polar_circle.n.01 geolocationfeature
cast.n.07 gamingaction
tie.v.01 attachmentaction
circumscription.n.01 action
military_formation.n.01 troopgroup
travel.v.02 journeyaction
genus_salvia.n.01 plantgenus
infructescence.n.01 botanicalstage
fetterbush.n.02 plant
paster.n.01 occupation
north_atlantic_treaty_organization.n.01 internationalorganization
ethicist.n.01 philosophicalexpert
fiver.n.01 currency
galvanic_skin_response.n.01 physiologicalresponse
imprudence.n.01 negligence
headway.n.02 motion
input.v.01 dataentryaction
regent.n.01 governingbodymember
disadvantage.n.01 deficit
soy.n.04 foodsource
astringent.n.01 medicine
turn_out.v.04 outcome
intension.n.01 semanticalconcept
dry.n.01 temperanceadvocate
unfriendliness.n.02 abstractconcept
blastoderm.n.01 embryonicstructure
verbalize.v.01 expressiveness
acrylic.n.02 syntheticpolymer
standard_cell.n.01 electrochemicalstandard
mihrab.n.02 religiousfeature
convict.v.01 legaljudgement
girdle.n.01 ornament
crimea.n.01 geographicalfeature
diacritical_mark.n.01 phoneticmark
wince.n.01 facialexpression
dapple-grey.n.01 animalcoat
construct.v.01 creationaction
sheath.n.01 weaponprotectivecovering
tabernaemontana.n.01 plant
represent.v.12 attributiveaction
trainee.n.01 learner
winteraceae.n.01 plantfamily
spice.v.01 flavorenhancer
cruelty.n.02 moralconcept
swallow.v.01 bodilyprocess
choker.n.04 clothingaccessory
survivor.n.03 enduringorganism
originate.v.02 creation
worst.v.01 militaryvictory
hefa.n.01 city
aphasmidia.n.01 biologicalsubgroup
capitalist.n.02 businessowner
fear.n.01 emotion
passage.n.02 textchunk
foal.n.01 younganimal
aristotle.n.01 philosopher
boulder.n.01 geologicalfeature
jack.n.10 lever
fishing_boat.n.01 watercraft
cyprinid.n.01 fish
ventilate.v.03 airflowmechanism
hit.v.01 impactaction
disposition.n.01 mood
segment.v.01 dividingaction
sleep.n.03 temporalevent
unsound.a.02 financialstatus
elimination_tournament.n.01 sportscompetitionformat
percophidae.n.01 fishfamily
choking.n.02 actofdanger
calculus.n.01 medicalmass
green_gentian.n.01 plantspecies
potholer.n.01 caver
serviceable.a.01 functionalcapability
discover.v.04 discoveryaction
dine.v.01 ingestionaction
roll.v.18 materialpropertydisplay
singularity.n.01 uniqueattribute
convey.v.04 transferofownership
germ.n.02 biologicalstructure
expense.n.01 operatingcost
microphone.n.01 audiotransducer
power_saw.n.01 tool
mahayanist.n.01 religiousaffiliation
biped.n.01 animal
hospitalization.n.04 medicalprocedure
sparrow.n.01 bird
handbuild.v.01 craftingtechnique
plain.n.01 geographicalfeature
sphecius.n.01 insect
jacket.n.01 clothing
murder.v.01 criminalact
come_around.v.02 recurringevent
gemfibrozil.n.01 drug
pterocnemia.n.01 birdgenus
enumeration.n.01 list
confusion.n.05 error
pour.v.01 transitiveaction
rancher.n.01 personoccupation
marcher.n.02 person
dimness.n.03 luminosity
painter.n.02 artist
sensitize.v.01 actionawarenessraising
involution.n.06 process
sumatra.n.01 island
slap.v.01 physicalaction
post.v.08 dressagetechnique
thistle.n.01 plant
marine_mussel.n.01 mollusks
pearly_everlasting.n.01 plant
subgenus.n.01 taxonomicrank
horse_wrangler.n.01 rodeoworker
eryngium.n.01 plant
chevalier.n.01 person
assets.n.01 property
abrader.n.01 tool
west_malaysia.n.01 geographicalregion
oujda.n.01 city
potential.a.01 potentialcapability
artaxerxes_i.n.01 ancientruler
garambulla.n.01 plant
playlet.n.01 dramaticwork
financier.n.01 financialprofessional
top-up.n.01 replenishmentamount
genus_gloriosa.n.01 plantgenus
miter.v.03 jointassembly
chorion.n.01 fetalmembrane
skin_care.n.01 skincareaction
pickup.n.09 transportationaction
reduplicate.v.01 semanticprocess
anagram.n.01 wordtransformation
cenobite.n.01 religiousorder
prey.v.01 exploitativeprofit
cognition.n.01 mentalprocess
agaricus.n.01 fungusgenus
obsession.n.02 psychologicalstate
develop.v.15 chemicalprocess
pace.n.04 motionaction
misgiving.n.03 moraldoubt
ambiguity.n.02 concept
anchovy_pear.n.01 plant
eskimo-aleut.n.01 languagefamily
plane.n.04 woodworkingtool
kahikatea.n.01 newzealandtreespecies
plagioclase.n.01 mineral
reptilia.n.01 animalclass
fuel.v.01 energyprovider
polony.n.01 meatproduct
glyceryl_ester.n.01 lipid
lubricate.v.03 surfacemodificationaction
titania.n.02 mythologicalruler
communization.n.02 politicalconcept
enteron.n.01 digestiveorgan
portland.n.01 city
berth.n.03 sleepingaccommodation
editor_program.n.01 softwareapplication
distortion.n.01 negativealteration
toweling.n.01 textilematerial
score.n.03 performancemetric
telling.n.02 communicationaction
inaction.n.01 state
lunaria.n.01 plant
tend.v.01 propensity
car_door.n.01 vehiclepart
rhizobiaceae.n.01 bacteriafamily
anemometer.n.01 weatherinstrument
philosopher.n.01 academia
pot.n.06 gamestake
sicken.v.02 medicalconditionchange
divorcee.n.01 womaninlegalseparation
cacao.n.01 plant
harvest.n.03 agriculturalyield
bonito.n.03 fish
generalization.n.04 psychologicalresponsetransfer
peccable.s.01 moralquality
track_star.n.01 athlete
sash_weight.n.01 architecturalhardware
ethnic.n.01 person
chili_powder.n.01 spice
pindolol.n.01 drug
blot.v.01 stainremoval
casualty.n.01 combatant
wordbook.n.01 dictionary
paul_iii.n.01 catholicpope
klystron.n.01 electroniccomponent
appropriateness.n.01 ethicalbehavior
cardiac_muscle.n.01 anatomy
orthopterous_insect.n.01 insectorder
cardamom.n.01 spice
unexchangeability.n.01 abstractproperty
cross.n.04 pain
bubbliness.n.01 property
stamp.v.04 markingaction
sunnah.n.01 islamicpractice
virgin_islands.n.01 archipelago
fall.v.21 inheritance
card.v.02 ageverificationprocedure
bambuseae.n.01 flora
anticholinesterase.n.01 drug
mako.n.01 marinevertebrate
accent.n.05 textualmark
western_diamondback.n.01 reptile
genus_anhinga.n.01 taxonomicgroup
kennedia.n.01 plantgenus
corset.v.01 clothingaction
bayonne.n.01 gpe
catapult.v.01 action
prophetess.n.01 religiousfigure
propitiate.v.01 reconciliationaction
miracle_man.n.01 mythologicalfigure
murder.n.01 homicide
damper.n.02 oscillationattenuator
policeman.n.01 lawenforcementofficer
fils.n.02 currencyunit
chauvinism.n.01 ideology
stage_manager.n.01 theaterpersonnel
argyranthemum.n.01 plantgenus
security.n.04 financialinstrument
trollius.n.01 plant
memory_device.n.01 datastorage
censure.n.01 condemnation
distrust.n.02 psychologicaltrait
scrub_pine.n.01 plantspecies
swagman.n.01 australianitinerantworker
zucchini.n.01 vegetable
marasmius.n.01 fungi
pilgrim.n.03 religiousdevotee
work_time.n.01 employmentduration
char.v.01 combustionprocess
uproot.v.03 plantextraction
strigidae.n.01 birdfamily
greenish_blue.n.01 color
centimeter.n.01 measurementunit
stint.v.02 allocation
blueprint.n.02 architecturalplan
hemophilia.n.01 geneticdisorder
north_sea.n.01 sea
white_man.n.01 personrace
examen.n.01 religiouspractice
declaim.v.01 recitation
flavin.n.01 chemicalcompound
highway_code.n.01 trafficregulation
bauxite.n.01 mineral
term.n.02 timeinterval
drench.v.04 liquidapplication
yoke.n.01 necklinepart
subversion.n.02 politicalact
impoundment.n.01 legalaction
juneberry.n.01 plant
daphne.n.01 plant
deny.v.05 selfdenial
immunize.v.02 medicalprocedure
sigh.v.01 expressiveaction
pernis.n.01 birdspecies
assimilation.n.02 socialprocess
bagatelle.n.02 trivialmatter
catalog.n.01 list
malice.n.01 negativeemotion
irish.n.03 language
kiribati.n.01 islandnation
chiasmal.a.01 anatomicalfeature
settlor.n.01 legalperson
leaf.v.03 plantproduction
garden_tool.n.01 gardeningequipment
resort.n.01 accommodation
robbery_conviction.n.01 criminaloffense
tom.n.02 animalgendered
salal.n.01 plant
notary.n.01 legalprofessional
broadcasting.n.02 radiotelevisionpersonality
salt.n.01 chemicalcompound
consult.v.01 adviceseeker
ramification.n.04 structuralfeature
parliamentary_agent.n.01 legislativeaffairsmanager
draco.n.03 lizard
clocksmith.n.01 craftsperson
bulletin.n.01 newsannouncement
ulvaceae.n.01 greenalgaespecies
rinse.n.02 cleaningaction
heaviside_layer.n.01 ionosphericregion
soursop.n.02 fruit
dasypodidae.n.01 animalgroup
trogoniformes.n.01 birdorder
unappetizing.a.01 descriptor
hercules'-club.n.01 plantornament
diss.v.01 insult
board.n.09 gamingsurface
seaplane.n.01 wateraircraft
intersection.n.01 geospatialfeature
bear_down.v.02 childbirthaction
satirist.n.01 comedian
hermaphroditism.n.01 medicalcondition
mullet.n.02 fishspecies
taurotragus.n.01 animal
brass_hat.n.01 militaryofficer
british_commonwealth.n.01 politicalorganization
statement.n.01 communication
ladle.v.01 transferaction
close-order_drill.n.01 militarydrill
beta_software.n.01 prereleasesoftware
suriname_river.n.01 naturalfeature
cover.v.09 firearmtargeting
pythiaceae.n.01 fungalfamily
sixpence.n.01 currency
balaenidae.n.01 animalfamily
plaster.v.05 application
seminiferous_tubule.n.01 anatomicalstructure
trapper.n.01 animalhunter
protium.n.01 plantgenus
lucubration.n.01 scholarlywork
tagger.n.02 appender
rodentia.n.01 mammals
phoneme.n.01 linguisticfeature
tamandua.n.01 mammal
reprint.v.01 publicationaction
bombast.n.01 verbalstyle
luminary.n.01 rolemodel
language.n.05 cognitiveability
hindrance.n.02 obstacle
fregata.n.01 animalgenus
reserve.v.03 prereservation
compound.v.05 combinationaction
adhesive_material.n.01 adhesive
fatigue.n.01 physicalcondition
solicitation.n.03 illicitsuggestion
gonad.n.01 reproductiveorgan
striving.n.01 goaldirectedaction
omomyid.n.01 extinctprimate
transistorize.v.01 electroniccircuitmodification
title_role.n.01 protagonistrole
batter.n.02 foodingredient
set_ablaze.v.01 agentaction
splintery.s.01 fragilematerialproperty
new_world_mouse.n.01 animalspecies
model.n.07 prototype
set_up.v.04 preparationaction
chylomicron.n.01 lipidparticle
coccothraustes.n.01 birdspecies
characterize.v.02 characteristicrelation
agdestis.n.01 plantgenus
complete.v.04 sportsaction
line_of_poetry.n.01 poeticline
warm.v.02 temperaturechangeaction
emptying.n.01 removalaction
recommence.v.01 initiationaction
street_arab.n.01 vulnerableyouth
vinifera_grape.n.02 plantcultivar
floating-moss.n.01 aquaticplant
sweet_false_chamomile.n.01 medicinalherb
gnaphalium.n.01 plantgenus
cardamom.n.02 spice
saury.n.01 fish
secale.n.01 graincrop
large_integer.n.01 numericalvalue
genus_daphne.n.01 plant
nick.n.02 britishslangprison
respiratory.a.01 physiologicalprocess
fall_into.v.01 categorization
port_of_entry.n.01 uscustomslocation
compare.v.01 comparisonaction
pardon.n.02 amnesty
cambodian.a.01 cambodianculturalaffiliation
sylvester_ii.n.01 pope
jackson.n.04 civilrightsactivist
format.v.03 diskformattingmethod
cinclus.n.01 biologicalgenus
windshield_wiper.n.01 vehiclepart
fastness.n.02 structuralproperty
ailanthus_silkworm.n.01 insect
energy.n.05 physicalcapability
anode.n.01 electricalcomponent
street_clothes.n.01 everydayattire
monogenic_disorder.n.01 disease
augur.n.01 romanpriest
pagrus.n.01 fishgenus
spot.v.02 perception
commander.n.03 militaryrank
zwingli.n.01 religiousfigure
design.n.01 conceptualization
banshee.n.01 mythicalcreature
sock.n.01 footwear
wild.n.01 naturalstate
belemnoidea.n.01 extinctcephalopodorder
lake_mead.n.01 reservoir
increase.n.03 growthprocess
incline.v.03 bodymovement
gobiidae.n.01 fishfamily
purchase.n.02 acquireditem
fog.n.01 atmosphericphenomenon
belo_horizonte.n.01 city
alpha_blocker.n.01 medication
ready.a.01 preparednessstate
embellishment.n.01 artisticdecoration
operator.n.03 businessowner
reconcile.v.03 agreement
shamanism.n.01 indigenousreligion
count.v.04 numbersequencing
talmudic_literature.n.01 religioustext
press_on.v.01 action
worm_gear.n.01 mechanicalcomponent
brisance.n.01 physicalphenomenon
aspirant.n.01 potentialleader
maximize.v.02 action
eira.n.01 animalgenus
law.n.03 socialnorms
importune.v.01 request
trench.n.01 militaryfortification
tug.v.02 aspiration
federal_aviation_agency.n.01 governmentaviationregulatorybody
sensitivity.n.01 physiologicalproperty
tempter.n.01 influencer
think.v.02 belief
radium_therapy.n.01 medicaltreatment
principe.n.01 island
india.n.01 country
limnocryptes.n.01 bird
competitive.a.01 competitivecharacteristic
regalecidae.n.01 fishspecies
subphylum.n.01 taxonomicrank
silver-bell_tree.n.01 plantspecies
mania.n.01 psychologicalstate
draw_up.v.05 vehiclerestingevent
vituperation.n.01 verbalattack
erithacus.n.01 birdfamily
tragulus.n.01 animalgenus
bias.v.01 unfairinfluence
sink.v.02 causativeagent
temperature_change.n.01 thermodynamicprocess
shtik.n.02 performancetrick
litchi.n.02 fruit
atheism.n.01 religiousconcept
look.v.03 facialexpression
reproduce.v.02 biologicalprocess
profitable.a.01 financialactivity
discount.n.01 pricereduction
notropis.n.01 fish
polemonium.n.01 plantgenus
denunciation.n.01 publiccriticism
lactarius.n.01 fungus
airport.n.01 transportationhub
salvation.n.04 actofrelief
pancreatic_duct.n.01 anatomicalstructure
marsileaceae.n.01 plantfamily
calibrate.v.02 measurementadjustment
exocoetidae.n.01 fishfamily
supervene.v.01 developmnet
barrenwort.n.01 plant
new_york_bay.n.01 geographicalfeature
cover.v.13 supervision
totemist.n.01 ancestorvenerationpractitioner
mountainside.n.01 landformfeature
pantry.n.01 foodstoragelocation
atrocity.n.02 criminalact
collide.v.03 physicalcollision
detroit.n.01 city
testacea.n.01 marineprotozoan
pia.n.01 plant
language.n.01 communicationsystem
stagnation.n.01 economiccondition
common_alder.n.01 treespecies
market_analyst.n.01 financialprofessional
illusion.n.02 misconception
rodolia.n.01 biologicalorganism
cape_buffalo.n.01 animal
embrace.v.02 affectionatephysicalaction
carbohydrate.n.01 biomolecule
sarcocystis.n.01 genus
true_lobster.n.01 crustacean
mod.n.01 britishmodsubculturefigure
marsupialia.n.01 mammaliansubclass
vietnam_war.n.01 historicalconflict
ziphiidae.n.01 marinemammalfamily
priority.n.02 chronologicalconcept
spiderflower.n.01 floweringplant
genus_senna.n.01 plantgenus
hibiscus.n.01 plantspecies
buzz.v.04 notificationmethod
field_game.n.01 sportsactivity
sweet.a.01 tasteproperty
sagittal_suture.n.01 anatomicalstructure
ortalis.n.01 birdspecies
bismarckian.a.01 historicalfigure
watch.v.01 observationaction
liege.n.03 city
advise.v.02 recommendationaction
sitophylus.n.01 insectgenus
louse_fly.n.01 parasiticinsect
industry.n.01 businesssector
unquestionable.a.01 property
masculine.a.02 genderedcharacteristic
fourteenth_amendment.n.01 usconstitutionamendment
point.n.10 gamestatistic
swordsmanship.n.01 combatskill
titillate.v.02 sensualstimulation
etropus.n.01 fishgenus
boil_down.v.02 foodpreparationprocess
magistrate.n.01 legalprofessional
tuille.n.01 protectivearmour
opisthognathidae.n.01 fishfamily
papering.n.01 decorativematerialapplication
drum_brake.n.01 vehiclecomponent
stock_index.n.01 financialindex
schaffneria.n.01 biologicalspecies
impersonator.n.01 person
shutter.n.01 cameracomponent
large_indefinite_quantity.n.01 abnormality
crotaphytus.n.01 reptile
sack.v.01 lootingaction
outline.n.03 designplan
mysore.n.01 city
forgiveness.n.02 moralaction
diplopoda.n.01 invertebrate
animal_tissue.n.01 biologicalmaterial
racing_circuit.n.01 racetrack
dictator.n.02 politicalleader
umbrina.n.01 animalgroup
gregory.n.02 pontiff
fathead.n.01 insult
browser.n.02 softwareapplication
shelf.n.01 furniture
address.n.02 location
theologian.n.01 religiousscholar
comstock.n.01 person
give.v.03 transferofpossession
trial.n.06 incidents
orator.n.01 speaker
drag_up.v.01 pasteventreference
mantle.v.01 covering
snipe.n.01 bird
schedule.v.01 eventplanning
take_off.v.06 clothingremoval
person.n.02 human
common_unicorn_plant.n.01 flower
stable.a.01 resilience
camper.n.02 vehicle
nautilus.n.01 submersible
helping.n.01 foodportion
consumption.n.03 economicactivity
hermitage.n.01 religiouslocation
barrage.n.02 militaryaction
terrace.n.03 residentialbuildingstructure
fructify.v.03 agriculturalprocess
agree.v.01 consentaction
manichaeism.n.01 religion
pilferage.n.01 theft
thymus_gland.n.01 lymphaticorgan
massacre.v.01 violentact
pediculati.n.01 fishspecies
concentration.n.03 concentrationmethod
religious_movement.n.01 religiousreformmovement
misprint.v.01 errorstate
worry.n.02 negativeemotion
natural_order.n.01 physicaluniverse
mesoderm.n.01 embryologicalstructure
vet.v.04 medicaltreatment
new_world_sparrow.n.01 bird
evidence.n.03 legalconcept
rustle.v.01 soundeffect
islam.n.01 religioncivilization
nymph.n.01 classicalmythologicalfigure
crash.n.05 systemerror
kelly.n.01 circusclown
everest.n.01 mountainpeak
honesty.n.01 abstractconcept
naphtha.n.01 chemicalcompound
desire.n.02 aspiration
leftover.n.01 residue
crotalidae.n.01 snakefamily
angle.v.04 fishingtechnique
first.n.05 academicdegree
mysticeti.n.01 cetacean
title_deed.n.01 legaldocument
bang.v.02 soundevent
all_fours.n.01 cardgame
minstrel_show.n.01 blackfaceminstrelperformance
basil.n.02 ecclesiasticalperson
cytoskeleton.n.01 cellularstructure
slice.v.03 cuttingaction
sheik.n.01 arabtriballeader
tarsioidea.n.01 suborder
redecorate.v.01 interiordesignaction
vanuatu.n.01 country
acre-foot.n.01 volumemeasurement
press.v.07 creationaction
doze.n.01 sleepstate
townee.n.01 citydweller
