diagonal.n.04 mathematicalconcept
integrity.n.02 abstractquality
baste.v.01 cookingtechnique
giant.n.01 creature
cruciferae.n.01 plantfamily
roast.n.01 fooditem
soft-shelled_turtle.n.01 reptile
engine.n.01 machine
orthoptera.n.01 insect
joy.n.01 emotion
nitrification.n.02 biochemicalprocess
name.n.03 familystructure
reduction.n.03 process
female_internal_reproductive_organ.n.01 biologicalstructure
dynamiter.n.01 individual
printing.n.02 businessactivity
stanleya.n.01 plant
theosophy.n.01 beliefsystem
carry.v.34 action
snuff-color.n.01 color
infancy.n.01 developmentalstage
telex.v.01 communicationmethod
chaser.n.02 beverage
lesser_panda.n.01 mammal
williams.n.05 historicalfigure
press.v.01 forceapplication
lutjanidae.n.01 marinefish
vinification.n.01 process
mekong.n.01 river
bestiality.n.02 sexualbehavior
sterculia.n.01 plant
vinyl_polymer.n.01 syntheticmaterial
lap.v.03 motion
batting.n.01 sportsactivity
enderby_land.n.01 geographicalregion
jolson.n.01 artist
catalyze.v.01 chemicalprocess
grieve.v.01 emotionalexperience
league.n.03 measurementunit
fight.n.05 competitiveevent
mutant.n.02 organism
biu-mandara.n.01 languagegroup
derive.v.03 relationship
tremor.n.02 naturalphenomenon
cnemidophorus.n.01 reptile
broom.n.02 plant
nanning.n.01 city
procedure.n.04 legalprocess
round_shape.n.01 geometricshape
crazy.n.01 person
ballota.n.01 plant
styphelia.n.01 plant
push-button_radio.n.01 electronicdevice
radon.n.01 chemicalelement
clean_out.v.02 action
rheostat.n.01 electricalcomponent
counterpart.n.02 duplicate
bobsled.n.01 vehicle
polar_circle.n.01 geographicalfeature
cast.n.07 gamblingactivity
tie.v.01 action
circumscription.n.01 concept
military_formation.n.01 organization
travel.v.02 action
genus_salvia.n.01 plant
infructescence.n.01 plantreproductivestructure
fetterbush.n.02 plant
paster.n.01 worker
north_atlantic_treaty_organization.n.01 internationalorganization
ethicist.n.01 philosopher
fiver.n.01 currency
galvanic_skin_response.n.01 physiologicalresponse
imprudence.n.01 behavior
headway.n.02 movement
input.v.01 action
regent.n.01 governingauthority
disadvantage.n.01 abstractconcept
soy.n.04 plant-basedfood
astringent.n.01 pharmaceuticalsubstance
turn_out.v.04 outcome
intension.n.01 concept
dry.n.01 socialreformer
unfriendliness.n.02 socialbehavior
blastoderm.n.01 biologicalstructure
verbalize.v.01 communication
acrylic.n.02 material
standard_cell.n.01 electricalcomponent
mihrab.n.02 architecturalfeature
convict.v.01 legalaction
girdle.n.01 circularstructure
crimea.n.01 geographicallocation
diacritical_mark.n.01 symbol
wince.n.01 facialexpression
dapple-grey.n.01 colorpattern
construct.v.01 action
sheath.n.01 protectivecovering
tabernaemontana.n.01 plant
represent.v.12 action
trainee.n.01 individual
winteraceae.n.01 plantfamily
spice.v.01 enhancement
cruelty.n.02 emotionalstate
swallow.v.01 action
choker.n.04 accessory
survivor.n.03 organism
originate.v.02 creation
worst.v.01 action
hefa.n.01 geographicallocation
aphasmidia.n.01 biologicalorganism
capitalist.n.02 businessinvestor
fear.n.01 emotion
passage.n.02 textualcontent
foal.n.01 younganimal
aristotle.n.01 philosopher
boulder.n.01 naturalformation
jack.n.10 tool
fishing_boat.n.01 watercraft
cyprinid.n.01 freshwaterfish
ventilate.v.03 process
hit.v.01 physicalaction
disposition.n.01 emotionalstate
segment.v.01 action
sleep.n.03 state
unsound.a.02 financialsituation
elimination_tournament.n.01 competition
percophidae.n.01 marinelife
choking.n.02 physiologicalcondition
calculus.n.01 mineralformation
green_gentian.n.01 plant
potholer.n.01 explorer
serviceable.a.01 utility
discover.v.04 action
dine.v.01 socialactivity
roll.v.18 physicalaction
singularity.n.01 uniquequality
convey.v.04 transaction
germ.n.02 biologicalorganism
expense.n.01 financialtransaction
microphone.n.01 electronicdevice
power_saw.n.01 powertool
mahayanist.n.01 religiousfollower
biped.n.01 bipedalorganism
hospitalization.n.04 medicalprocedure
sparrow.n.01 bird
handbuild.v.01 craftingtechnique
plain.n.01 landformation
sphecius.n.01 insect
jacket.n.01 apparel
murder.v.01 criminalact
come_around.v.02 event
gemfibrozil.n.01 pharmaceutical
pterocnemia.n.01 genusofanimals
enumeration.n.01 list
confusion.n.05 stateofmind
pour.v.01 action
rancher.n.01 agriculturalworker
marcher.n.02 person
dimness.n.03 visualquality
painter.n.02 artist
sensitize.v.01 action
involution.n.06 process
sumatra.n.01 geographicallocation
slap.v.01 physicalaction
post.v.08 equineactivity
thistle.n.01 plant
marine_mussel.n.01 marineorganism
pearly_everlasting.n.01 plant
subgenus.n.01 biologicalclassification
horse_wrangler.n.01 animalcaretaker
eryngium.n.01 plant
chevalier.n.01 performer
assets.n.01 property
abrader.n.01 tool
west_malaysia.n.01 geographicalregion
oujda.n.01 geographiclocation
potential.a.01 possibility
artaxerxes_i.n.01 historicalfigure
garambulla.n.01 plant
playlet.n.01 theatricalwork
financier.n.01 financialprofessional
top-up.n.01 financialtransaction
genus_gloriosa.n.01 plant
miter.v.03 jointassembly
chorion.n.01 biologicalstructure
skin_care.n.01 personalcare
pickup.n.09 transportationoperation
reduplicate.v.01 linguisticprocess
anagram.n.01 linguisticconstruct
cenobite.n.01 religiousfigure
prey.v.01 economicactivity
cognition.n.01 mentalprocess
agaricus.n.01 fungus
obsession.n.02 mentalcondition
develop.v.15 process
pace.n.04 movement
misgiving.n.03 concern
ambiguity.n.02 concept
anchovy_pear.n.01 fruit-bearingtree
eskimo-aleut.n.01 languagefamily
plane.n.04 tool
kahikatea.n.01 plant
plagioclase.n.01 mineral
reptilia.n.01 classofanimals
fuel.v.01 energyprovision
polony.n.01 food
glyceryl_ester.n.01 chemicalcompound
lubricate.v.03 process
titania.n.02 mythologicalfigure
communization.n.02 socio-politicalconcept
enteron.n.01 biologicalstructure
portland.n.01 city
berth.n.03 sleepingaccommodation
editor_program.n.01 softwareapplication
distortion.n.01 change
toweling.n.01 textile
score.n.03 measurement
telling.n.02 communication
inaction.n.01 stateofbeing
lunaria.n.01 plant
tend.v.01 behavior
car_door.n.01 automotivecomponent
rhizobiaceae.n.01 bacterialfamily
anemometer.n.01 meteorologicalinstrument
philosopher.n.01 intellectual
pot.n.06 financialresource
sicken.v.02 health-relatedcondition
divorcee.n.01 person
cacao.n.01 plant
harvest.n.03 agriculturalactivity
bonito.n.03 fish
generalization.n.04 psychologicalconcept
peccable.s.01 moralquality
track_star.n.01 athlete
sash_weight.n.01 mechanicalcomponent
ethnic.n.01 individual
chili_powder.n.01 spice
pindolol.n.01 medication
blot.v.01 action
casualty.n.01 militarypersonnel
wordbook.n.01 referencebook
paul_iii.n.01 historicalreligiousfigure
klystron.n.01 electronicdevice
appropriateness.n.01 socialbehavior
cardiac_muscle.n.01 muscletissue
orthopterous_insect.n.01 insect
cardamom.n.01 plant
unexchangeability.n.01 concept
cross.n.04 suffering
bubbliness.n.01 physicalproperty
stamp.v.04 action
sunnah.n.01 religiouspractice
virgin_islands.n.01 geographicallocation
fall.v.21 inheritancerelationship
card.v.02 action
bambuseae.n.01 plant
anticholinesterase.n.01 pharmaceuticalagent
mako.n.01 marineanimal
accent.n.05 linguisticfeature
western_diamondback.n.01 reptile
genus_anhinga.n.01 biologicaltaxon
kennedia.n.01 plant
corset.v.01 apparel
bayonne.n.01 location
catapult.v.01 action
prophetess.n.01 religiousfigure
propitiate.v.01 action
miracle_man.n.01 person
murder.n.01 crime
damper.n.02 mechanicaldevice
policeman.n.01 lawenforcementpersonnel
fils.n.02 monetaryunit
chauvinism.n.01 ideology
stage_manager.n.01 performingartsprofessional
argyranthemum.n.01 plant
security.n.04 financialinstrument
trollius.n.01 plant
memory_device.n.01 informationstoragedevice
censure.n.01 socialevaluation
distrust.n.02 emotionalstate
scrub_pine.n.01 plant
swagman.n.01 laborer
zucchini.n.01 vegetable
marasmius.n.01 fungus
pilgrim.n.03 religioustraveler
work_time.n.01 timeperiod
char.v.01 carbonizationprocess
uproot.v.03 action
strigidae.n.01 animal
greenish_blue.n.01 color
centimeter.n.01 lengthmeasurementunit
stint.v.02 resourceallocation
blueprint.n.02 document
hemophilia.n.01 geneticdisorder
north_sea.n.01 geographicalfeature
white_man.n.01 human
examen.n.01 evaluationprocess
declaim.v.01 speechactivity
flavin.n.01 chemicalcompound
highway_code.n.01 regulatoryframework
bauxite.n.01 mineral
term.n.02 timeduration
drench.v.04 action
yoke.n.01 clothingaccessory
subversion.n.02 politicalaction
impoundment.n.01 legalaction
juneberry.n.01 plant
daphne.n.01 plant
deny.v.05 self-restraintaction
immunize.v.02 healthaction
sigh.v.01 physicalaction
pernis.n.01 bird
assimilation.n.02 culturalprocess
bagatelle.n.02 trivialitem
catalog.n.01 publication
malice.n.01 emotionalstate
irish.n.03 language
kiribati.n.01 geographicallocation
chiasmal.a.01 biologicalphenomenon
settlor.n.01 legalentity
leaf.v.03 plantprocess
garden_tool.n.01 gardenequipment
resort.n.01 establishment
robbery_conviction.n.01 criminaloffense
tom.n.02 animal
salal.n.01 plant
notary.n.01 legalprofessional
broadcasting.n.02 mediaactivity
salt.n.01 chemicalcompound
consult.v.01 advisoryaction
ramification.n.04 concept
parliamentary_agent.n.01 governmentrepresentative
draco.n.03 reptile
clocksmith.n.01 artisan
bulletin.n.01 communication
ulvaceae.n.01 algae
rinse.n.02 cleaningprocess
heaviside_layer.n.01 atmosphericlayer
soursop.n.02 tropicalfruit
dasypodidae.n.01 mammal
trogoniformes.n.01 bird
unappetizing.a.01 foodquality
hercules'-club.n.01 plant
diss.v.01 socialinteraction
board.n.09 object
seaplane.n.01 vehicle
intersection.n.01 geometricconcept
bear_down.v.02 physiologicalprocess
satirist.n.01 performer
hermaphroditism.n.01 biologicalcondition
mullet.n.02 fish
taurotragus.n.01 animal
brass_hat.n.01 militarypersonnel
british_commonwealth.n.01 politicalassociation
statement.n.01 communication
ladle.v.01 action
close-order_drill.n.01 militarymaneuver
beta_software.n.01 softwareproduct
suriname_river.n.01 geographicalfeature
cover.v.09 action
pythiaceae.n.01 biologicalorganism
sixpence.n.01 currency
balaenidae.n.01 marinemammal
plaster.v.05 materialapplication
seminiferous_tubule.n.01 anatomicalstructure
trapper.n.01 person
protium.n.01 plant
lucubration.n.01 literarywork
tagger.n.02 person
rodentia.n.01 mammals
phoneme.n.01 speechsound
tamandua.n.01 mammal
reprint.v.01 publication
bombast.n.01 speech
luminary.n.01 celebrity
language.n.05 communicationsystem
hindrance.n.02 obstruction
fregata.n.01 genus
reserve.v.03 action
compound.v.05 action
adhesive_material.n.01 substance
fatigue.n.01 physicalstate
solicitation.n.03 action
gonad.n.01 biologicalstructure
striving.n.01 humanactivity
omomyid.n.01 extinctprimates
transistorize.v.01 electronicoperation
title_role.n.01 dramarole
batter.n.02 foodpreparationingredient
set_ablaze.v.01 action
splintery.s.01 materialproperty
new_world_mouse.n.01 mammal
model.n.07 concept
set_up.v.04 preparationactivity
chylomicron.n.01 biologicalparticle
coccothraustes.n.01 bird
characterize.v.02 attribute
agdestis.n.01 plant
complete.v.04 action
line_of_poetry.n.01 textelement
warm.v.02 temperaturemodificationaction
emptying.n.01 action
recommence.v.01 action
street_arab.n.01 person
vinifera_grape.n.02 plant
floating-moss.n.01 plant
sweet_false_chamomile.n.01 herbaceousplant
gnaphalium.n.01 plant
cardamom.n.02 spice
saury.n.01 marineorganism
secale.n.01 plant
large_integer.n.01 numericquantity
genus_daphne.n.01 plant
nick.n.02 facility
respiratory.a.01 biologicalprocess
fall_into.v.01 classification
port_of_entry.n.01 transportationfacility
compare.v.01 evaluationprocess
pardon.n.02 legalinstrument
cambodian.a.01 culturalidentity
sylvester_ii.n.01 historicalfigure
jackson.n.04 civilrightsleader
format.v.03 process
cinclus.n.01 genus
windshield_wiper.n.01 automotiveaccessory
fastness.n.02 quality
ailanthus_silkworm.n.01 insect
energy.n.05 physicalproperty
anode.n.01 electricalcomponent
street_clothes.n.01 apparel
monogenic_disorder.n.01 geneticcondition
augur.n.01 religiousofficial
pagrus.n.01 marineorganism
spot.v.02 perception
commander.n.03 militaryrank
zwingli.n.01 historicalfigure
design.n.01 concept
banshee.n.01 mythologicalcreature
sock.n.01 clothingitem
wild.n.01 naturalstate
belemnoidea.n.01 extinctmarineorganism
lake_mead.n.01 geographicallocation
increase.n.03 quantitativechange
incline.v.03 physicalaction
gobiidae.n.01 fish
purchase.n.02 transaction
fog.n.01 naturalphenomenon
belo_horizonte.n.01 geographicallocation
alpha_blocker.n.01 pharmaceuticaldrug
ready.a.01 stateofreadiness
embellishment.n.01 artisticexpression
operator.n.03 businessentity
reconcile.v.03 action
shamanism.n.01 spiritualpractice
count.v.04 numericalaction
talmudic_literature.n.01 religioustext
press_on.v.01 action
worm_gear.n.01 mechanicalcomponent
brisance.n.01 explosiveeffect
aspirant.n.01 individual
maximize.v.02 action
eira.n.01 animal
law.n.03 abstractconcept
importune.v.01 action
trench.n.01 geographicfeature
tug.v.02 effort
federal_aviation_agency.n.01 governmentagency
sensitivity.n.01 biologicalcharacteristic
tempter.n.01 person
think.v.02 cognitiveprocess
radium_therapy.n.01 medicaltreatment
principe.n.01 geographicallocation
india.n.01 country
limnocryptes.n.01 bird
competitive.a.01 activityorbehavior
regalecidae.n.01 marinelife
subphylum.n.01 biologicalclassification
silver-bell_tree.n.01 plant
mania.n.01 psychologicalphenomenon
draw_up.v.05 action
vituperation.n.01 communication
erithacus.n.01 bird
tragulus.n.01 mammal
bias.v.01 influence
sink.v.02 action
temperature_change.n.01 physicalprocess
shtik.n.02 performancetechnique
litchi.n.02 fruit
atheism.n.01 beliefsystem
look.v.03 facialexpression
reproduce.v.02 biologicalprocess
profitable.a.01 financialoutcome
discount.n.01 financialtransaction
notropis.n.01 fish
polemonium.n.01 plant
denunciation.n.01 socialaction
lactarius.n.01 fungus
airport.n.01 transportationfacility
salvation.n.04 abstractconcept
pancreatic_duct.n.01 anatomicalstructure
marsileaceae.n.01 plantfamily
calibrate.v.02 measurementprocess
exocoetidae.n.01 fish
supervene.v.01 event
barrenwort.n.01 plant
new_york_bay.n.01 geographicalfeature
cover.v.13 surveillanceactivity
totemist.n.01 individual
mountainside.n.01 geographicalfeature
pantry.n.01 storagespace
atrocity.n.02 cruelact
collide.v.03 physicalinteraction
detroit.n.01 city
testacea.n.01 organism
pia.n.01 plant
language.n.01 communicationmethod
stagnation.n.01 state
common_alder.n.01 plant
market_analyst.n.01 financialprofessional
illusion.n.02 concept
rodolia.n.01 insect
cape_buffalo.n.01 largewildanimal
embrace.v.02 physicalinteraction
carbohydrate.n.01 biologicalmolecule
sarcocystis.n.01 organism
true_lobster.n.01 marineanimal
mod.n.01 youthculture
marsupialia.n.01 mammal
vietnam_war.n.01 historicalevent
ziphiidae.n.01 marinemammal
priority.n.02 concept
spiderflower.n.01 plant
genus_senna.n.01 plant
hibiscus.n.01 plant
buzz.v.04 communicationaction
field_game.n.01 outdooractivity
sweet.a.01 tastecharacteristic
sagittal_suture.n.01 anatomicalstructure
ortalis.n.01 animal
bismarckian.a.01 historicalfigurerelatedconcept
watch.v.01 perception
liege.n.03 city
advise.v.02 communication
sitophylus.n.01 genus
louse_fly.n.01 parasiticinsect
industry.n.01 commercialsector
unquestionable.a.01 evaluationattribute
masculine.a.02 genderdescriptor
fourteenth_amendment.n.01 legalamendment
point.n.10 measurementunit
swordsmanship.n.01 martialskill
titillate.v.02 stimulus
etropus.n.01 genus
boil_down.v.02 cookingprocess
magistrate.n.01 legalauthority
tuille.n.01 protectionequipment
opisthognathidae.n.01 aquaticspecies
papering.n.01 interiordecoration
drum_brake.n.01 mechanicalcomponent
stock_index.n.01 financialindex
schaffneria.n.01 species
impersonator.n.01 deceiver
shutter.n.01 mechanicaldevice
large_indefinite_quantity.n.01 quantity
crotaphytus.n.01 reptile
sack.v.01 action
outline.n.03 plan
mysore.n.01 city
forgiveness.n.02 humanexperience
diplopoda.n.01 arthropod
animal_tissue.n.01 biologicalmaterial
racing_circuit.n.01 sportingvenue
dictator.n.02 politicalleader
umbrina.n.01 fish
gregory.n.02 historicalreligiousfigure
fathead.n.01 person
browser.n.02 softwareapplication
shelf.n.01 furniture
address.n.02 location
theologian.n.01 scholar
comstock.n.01 historicalfigure
give.v.03 action
trial.n.06 event
orator.n.01 human
drag_up.v.01 action
mantle.v.01 action
snipe.n.01 bird
schedule.v.01 activitymanagement
take_off.v.06 action
person.n.02 human
common_unicorn_plant.n.01 plant
stable.a.01 stateofmatter
camper.n.02 recreationalvehicle
nautilus.n.01 vehicle
helping.n.01 fooditem
consumption.n.03 economicactivity
hermitage.n.01 residentialplace
barrage.n.02 militarytactic
terrace.n.03 residentialstructure
fructify.v.03 biologicalprocess
agree.v.01 socialinteraction
manichaeism.n.01 religion
pilferage.n.01 theft
thymus_gland.n.01 glandularorgan
massacre.v.01 violenceevent
pediculati.n.01 marinelife
concentration.n.03 chemicalproperty
religious_movement.n.01 socialmovement
misprint.v.01 publishingerror
worry.n.02 emotionalstate
natural_order.n.01 naturalsystem
mesoderm.n.01 biologicaltissue
vet.v.04 animalcare
new_world_sparrow.n.01 bird
evidence.n.03 legalconcept
rustle.v.01 soundproduction
islam.n.01 religionorbeliefsystem
nymph.n.01 mythologicalfigure
crash.n.05 event
kelly.n.01 entertainer
everest.n.01 naturallandmark
honesty.n.01 abstractquality
naphtha.n.01 chemicalsubstance
desire.n.02 psychologicalstate
leftover.n.01 remnant
crotalidae.n.01 reptile
angle.v.04 fishingactivity
first.n.05 academiccredential
mysticeti.n.01 marinemammal
title_deed.n.01 legaldocument
bang.v.02 soundevent
all_fours.n.01 game
minstrel_show.n.01 entertainmentperformance
basil.n.02 historicalfigure
cytoskeleton.n.01 cellularstructure
slice.v.03 action
sheik.n.01 politicalleader
tarsioidea.n.01 mammal
redecorate.v.01 homeimprovementactivity
vanuatu.n.01 geographicallocation
acre-foot.n.01 volumemeasurement
press.v.07 action
doze.n.01 sleepstate
townee.n.01 citydweller
benedict_xiv.n.01 historicalfigure
white_wine.n.01 beverage
anopheles.n.01 insect
hottentot_bread.n.01 plant
neurogenesis.n.01 biologicalprocess
pierce.n.01 historicalfigure
unsociable.a.01 socialbehavior
lien.n.01 legalright
shame.n.02 emotionalstate
family.n.01 socialgroup
gerreidae.n.01 fish
put_on.v.03 cookingaction
potamogetonaceae.n.01 aquaticplantfamily
picnic_area.n.01 recreationalspace
self-starter.n.02 mechanicaldevice
trilliaceae.n.01 plantfamily
base_hit.n.01 sportsevent
squinter.n.01 person
pseudacris.n.01 amphibian
aeolis.n.01 historicalregion
carry.v.23 action
cleanness.n.01 quality
myelinization.n.01 biologicalprocess
afraid.a.01 emotionalstate
collectible.n.01 object
scotland.n.01 geographicregion
iroquoian.n.01 languagefamily
traffic.v.01 illegalactivity
office-bearer.n.01 person
immunoglobulin_a.n.01 biologicalmolecule
genus_chaenactis.n.01 plant
swab.v.01 cleaningaction
liparis.n.02 marineorganism
size.n.02 measurement
conserve.v.03 resourcemanagement
parget.v.01 constructionprocess
erase.v.03 digitalaction
carroll.n.01 person
elementary_geometry.n.01 mathematicalconcept
gloss.v.03 linguisticaction
disagreeableness.n.02 personalitytrait
toboggan.n.01 sled
bunch.n.03 collection
susceptibility.n.01 condition
cnidaria.n.01 aquaticorganism
magnetization.n.01 physicalproperty
free_phagocyte.n.01 biologicalcell
gloss.v.01 action
bedraggle.v.01 action
podocarpaceae.n.01 plant
extensile.a.01 physicalproperty
validation.n.01 process
composition.n.03 mixture
immobilization.n.02 process
